"Sr"	"Locus.name"	"Minimum"	"Maximum"	"Product"	"Chromosome"	"Physical.Map.Position"	"Component.SSRs"	"Overlaps"	"Duplicates"
"2302"	"2302"	"txp031"	"55215143"	"55215364"	"221"	"3"	"55.2151"	""	""	""
"2303"	"2303"	"txp507"	"55316924"	"55317118"	"194"	"3"	"55.3169"	""	""	""
"2305"	"2305"	"txp336"	"55393748"	"55393914"	"166"	"3"	"55.3937"	""	""	""
"2306"	"2306"	"txp508"	"55526098"	"55526273"	"175"	"3"	"55.5261"	""	""	""
"2307"	"2307"	"mSbCIR276"	"55555089"	"55555317"	"228"	"3"	"55.5551"	""	""	""
"2308"	"2308"	"cup65"	"55866594"	"55866785"	"191"	"3"	"55.8666"	""	""	""
"2309"	"2309"	"txp509"	"55891058"	"55891331"	"273"	"3"	"55.8911"	""	""	""
"2311"	"2311"	"txp444"	"55930827"	"55931012"	"185"	"3"	"55.9308"	"2 SSRs including that detected by SB1986"	"Overlap with SB1986"	""
"2322"	"2322"	"isep0122"	"56704417"	"56704615"	"198"	"3"	"56.7044"	""	""	""
"2325"	"2325"	"iabtp245"	"56782172"	"56782414"	"242"	"3"	"56.7822"	""	"Overlap with SB1999 and Xtxp510"	""
"2327"	"2327"	"txp510"	"56782176"	"56782361"	"185"	"3"	"56.7822"	""	"Overlap with Xiabtp245 and SB1999"	""
"2328"	"2328"	"iabtp512"	"56993543"	"56993628"	"85"	"3"	"56.9935"	""	""	""
"2329"	"2329"	">SbADPSH2"	"57013447"	"57014218"	"771"	"3"	"57.0134"	""	""	""
"2330"	"2330"	">SbADPSH2NADPH"	"57038172"	"57050041"	"11869"	"3"	"57.0382"	""	""	""
"2331"	"2331"	"txp503"	"57050972"	"57051193"	"221"	"3"	"57.0510"	""	""	""
"2334"	"2334"	"SRSC12_002"	"57262530"	"57263416"	"886"	"3"	"57.2625"	""	""	""
"2336"	"2336"	"txp435"	"57320151"	"57320317"	"166"	"3"	"57.3202"	""	""	""
"2337"	"2337"	"iabtp463"	"57328688"	"57328937"	"249"	"3"	"57.3287"	""	"Overlap with Xtxp120(Cba)"	""
"2338"	"2338"	"txp120(Cba)"	"57328739"	"57328934"	"195"	"3"	"57.3287"	""	"Overlap with Xiabtp463"	""
"2341"	"2341"	"txp511"	"57375123"	"57375352"	"229"	"3"	"57.3751"	""	"Overlap with SB2006"	""
"2342"	"2342"	"txp514"	"57375366"	"57375590"	"224"	"3"	"57.3754"	""	""	""
"2343"	"2343"	"txp512"	"57375771"	"57375920"	"149"	"3"	"57.3758"	""	""	""
"2345"	"2345"	"txp002"	"57539612"	"57539763"	"151"	"3"	"57.5396"	"2 SSRs including that detected by SB2008"	"Overlap with SB2008"	""
"2361"	"2361"	"isep0112"	"58071612"	"58071855"	"243"	"3"	"58.0716"	""	""	""
"2367"	"2367"	"txp436"	"58329870"	"58330008"	"138"	"3"	"58.3299"	"2 SSRs including that detected by SB2030"	"Overlap with SB2030"	""
"2373"	"2373"	"txp059"	"58533590"	"58533795"	"205"	"3"	"58.5336"	""	""	""
"2375"	"2375"	"txp468"	"58595400"	"58595596"	"196"	"3"	"58.5954"	""	""	""
"2377"	"2377"	"iabtp83"	"58669099"	"58669258"	"159"	"3"	"58.6691"	""	""	""
"2379"	"2379"	"iabtp120"	"58726535"	"58726714"	"179"	"3"	"58.7265"	"SSR segment included in SB2038"	"Overlap with SB2038"	""
"2391"	"2391"	"isep0118"	"59224410"	"59224588"	"178"	"3"	"59.2244"	""	""	""
"2392"	"2392"	"isep0130"	"59256982"	"59257169"	"187"	"3"	"59.2570"	""	""	""
"2398"	"2398"	"mSbCIR314"	"59573938"	"59574153"	"215"	"3"	"59.5739"	""	"Overlap with SB2055"	""
"2400"	"2400"	"cup38"	"59587240"	"59587397"	"157"	"3"	"59.5872"	""	""	""
"2401"	"2401"	"isep0121"	"59590787"	"59590986"	"199"	"3"	"59.5908"	""	""	""
"2402"	"2402"	"isep0127"	"59642552"	"59642748"	"196"	"3"	"59.6426"	""	""	""
"2414"	"2414"	"iabtp266"	"60368021"	"60368229"	"208"	"3"	"60.3680"	""	""	""
"2420"	"2420"	"txp114"	"60794047"	"60794280"	"233"	"3"	"60.7940"	""	"Overlap with SB2074"	""
"2424"	"2424"	"isep0137"	"60851475"	"60851656"	"181"	"3"	"60.8515"	""	""	""
"2437"	"2437"	"txp437"	"61529844"	"61530002"	"158"	"3"	"61.5298"	""	""	""
"2450"	"2450"	"SRSC1_006"	"62491674"	"62492741"	"1067"	"3"	"62.4917"	""	""	""
"2455"	"2455"	"txp469"	"62652654"	"62652849"	"195"	"3"	"62.6527"	""	""	""
"2459"	"2459"	">ZCN12"	"62755398"	"62755645"	"247"	"3"	"62.7554"	""	""	""
"2466"	"2466"	"iabtp164"	"62979250"	"62979407"	"157"	"3"	"62.9793"	""	""	""
"2471"	"2471"	"iabtp078"	"63100499"	"63100718"	"219"	"3"	"63.1005"	""	"Overlap with SB2119"	"Very similar to SB2119"
"2474"	"2474"	"iabtp042"	"63176035"	"63176094"	"59"	"3"	"63.1760"	""	""	""
"2484"	"2484"	"isep0129"	"63630867"	"63631143"	"276"	"3"	"63.6309"	""	""	""
"2487"	"2487"	"txp438"	"63684468"	"63684676"	"208"	"3"	"63.6845"	""	"Overlap with Xiabtp73 and SB2133"	"Same as Xiabtp73"
"2488"	"2488"	"iabtp73"	"63684468"	"63684676"	"208"	"3"	"63.6845"	""	"Overlap with Xtxp438 and SB2133"	"Same as Xtxp438"
"2494"	"2494"	"PRSC1_019"	"64007852"	"64008104"	"252"	"3"	"64.0079"	""	""	""
"2498"	"2498"	"iabtp24"	"64155961"	"64156183"	"222"	"3"	"64.1560"	""	"Overlap with Xtxp440"	""
"2499"	"2499"	"txp440"	"64155991"	"64156174"	"183"	"3"	"64.1560"	""	"Overlap with Xiabtp24"	""
"2506"	"2506"	"isep0146"	"64473260"	"64473565"	"305"	"3"	"64.4733"	""	""	""
"2524"	"2524"	"txp441"	"65313008"	"65313160"	"152"	"3"	"65.3130"	"SSR segment included in SB2163"	"Overlap with SB2163"	""
"2529"	"2529"	"iabtp88"	"65752274"	"65752536"	"262"	"3"	"65.7523"	""	""	""
"2539"	"2539"	"txp446"	"66184334"	"66184613"	"279"	"3"	"66.1843"	""	"Overlap with SB2176"	""
"2540"	"2540"	"isep0142"	"66199308"	"66199525"	"217"	"3"	"66.1993"	""	""	""
"2544"	"2544"	"iabtp478"	"66397985"	"66398283"	"298"	"3"	"66.3980"	"2 SSRs including that detected by SB2179"	"Overlap with SB2179"	""
"2549"	"2549"	"PRSC1_012"	"66645290"	"66645470"	"180"	"3"	"66.6453"	""	""	""
"2552"	"2552"	"txp473"	"66681243"	"66681378"	"135"	"3"	"66.6812"	""	"Overlap with SB2186"	""
"2558"	"2558"	"PRSC1_006"	"66717945"	"66718162"	"217"	"3"	"66.7179"	""	""	""
"2560"	"2560"	"mSbCIR225"	"66789149"	"66789277"	"128"	"3"	"66.7891"	""	""	""
"2561"	"2561"	"isep0143"	"66863858"	"66864079"	"221"	"3"	"66.8639"	""	""	""
"2564"	"2564"	"iabtp411"	"67198072"	"67198305"	"233"	"3"	"67.1981"	""	""	""
"2580"	"2580"	"txp447"	"67641292"	"67641436"	"144"	"3"	"67.6413"	"SSR segment included in SB2210"	"Overlap with SB2210"	""
"2582"	"2582"	"isep0117"	"67704357"	"67704496"	"139"	"3"	"67.7044"	""	""	""
"2585"	"2585"	"txp285"	"67823807"	"67824056"	"249"	"3"	"67.8238"	""	""	""
"2587"	"2587"	"txp474"	"67962456"	"67962605"	"149"	"3"	"67.9625"	"SSR segment included in SB2215"	"Overlap with SB2215"	""
"2597"	"2597"	"txp038(lg)"	"68161379"	"68161815"	"436"	"3"	"68.1614"	"2 SSRs including that detected by SB2225"	"Overlap with SB2225"	""
"2601"	"2601"	"txp421"	"68225749"	"68225921"	"172"	"3"	"68.2257"	"2 SSRs including that detected by SB2228"	"Overlap with SB2228"	""
"2606"	"2606"	"txp448"	"68300784"	"68300886"	"102"	"3"	"68.3008"	"SSR segment included in SB2232"	"Overlap with SB2232"	""
"2607"	"2607"	"txp449"	"68414754"	"68414848"	"94"	"3"	"68.4148"	"SSR segment included in Xiabtp138"	"Overlap with Xiabtp138"	""
"2608"	"2608"	"iabtp138"	"68414754"	"68414985"	"231"	"3"	"68.4148"	"2 SSRs including that detected by Xtxp449"	"Overlap with Xtxp449"	""
"2614"	"2614"	"txp476"	"68895789"	"68895957"	"168"	"3"	"68.8958"	"SSR segment included in SB2238"	"Overlap with SB2238"	""
"2615"	"2615"	"iabtp423"	"68934953"	"68935238"	"285"	"3"	"68.9350"	"2 SSRs including that detected by Xtxp422"	"Overlap with Xtxp422"	""
"2616"	"2616"	"txp422"	"68934988"	"68935159"	"171"	"3"	"68.9350"	"SSR segment included in Xiabtp423"	"Overlap with Xiabtp423"	""
"2619"	"2619"	"txp420"	"69031517"	"69031691"	"174"	"3"	"69.0315"	"SSR segment included in SB2241"	"Overlap with SB2241"	""
"2623"	"2623"	"iabtp369"	"69062949"	"69063198"	"249"	"3"	"69.0629"	""	"Overlap with SB2243"	""
"2627"	"2627"	"isep0144"	"69305701"	"69305897"	"196"	"3"	"69.3057"	""	""	""
"2636"	"2636"	"txp034"	"69739686"	"69740050"	"364"	"3"	"69.7397"	"SSR segment included in SB2256"	"Overlap with XSB2256"	""
"2642"	"2642"	"txp424"	"69964573"	"69964805"	"232"	"3"	"69.9646"	""	""	""
"2643"	"2643"	"iabtp465"	"69964725"	"69964947"	"222"	"3"	"69.9647"	""	""	""
"2650"	"2650"	"txp016"	"70272979"	"70273137"	"158"	"3"	"70.2730"	"SSR segment included in SB2269"	"Overlap with SB2269"	""
"2656"	"2656"	"isep1027"	"70591946"	"70592144"	"198"	"3"	"70.5919"	""	""	""
"2659"	"2659"	"iabtp110"	"70733219"	"70733466"	"247"	"3"	"70.7332"	""	""	""
"2661"	"2661"	">SbISvp1"	"70801082"	"70801409"	"327"	"3"	"70.8011"	""	""	""
"2662"	"2662"	">Sbvp1maize"	"70803854"	"70804336"	"482"	"3"	"70.8039"	""	""	""
"2663"	"2663"	">SbISVP1"	"70804706"	"70805212"	"506"	"3"	"70.8047"	""	""	""
"2665"	"2665"	">Sbvp1"	"70805642"	"70806680"	"1038"	"3"	"70.8056"	""	"Includes SSR segment of SB2278"	""
"2670"	"2670"	"iabtp159"	"71008793"	"71009267"	"474"	"3"	"71.0088"	""	""	""
"2672"	"2672"	">SbMATE"	"71142250"	"71143135"	"885"	"3"	"71.1423"	""	""	""
"2675"	"2675"	"isep0147"	"71352657"	"71352877"	"220"	"3"	"71.3527"	""	""	""
"2677"	"2677"	"txp070"	"71413049"	"71413263"	"214"	"3"	"71.4130"	""	""	""
"2679"	"2679"	"cup32"	"71456894"	"71457048"	"154"	"3"	"71.4569"	""	""	""
"2680"	"2680"	">OsMADS"	"71474378"	"71474563"	"185"	"3"	"71.4744"	""	""	""
"2681"	"2681"	">TaAGL41"	"71474378"	"71474563"	"185"	"3"	"71.4744"	""	""	""
"2696"	"2696"	"isep0843"	"72151791"	"72151991"	"200"	"3"	"72.1518"	""	""	""
"2701"	"2701"	"txp069"	"72374141"	"72374328"	"187"	"3"	"72.3741"	""	"Overlap with SB2311"	""
"2704"	"2704"	"cup14"	"72459742"	"72459950"	"208"	"3"	"72.4597"	"2 SSRs including that detected by SB2312"	"Overlap with SB2312"	""
"2716"	"2716"	"isep0140"	"72759255"	"72759525"	"270"	"3"	"72.7593"	""	""	""
"2719"	"2719"	"isep0138"	"72847040"	"72847247"	"207"	"3"	"72.8470"	""	""	""
"2726"	"2726"	"txp425"	"73024742"	"73024927"	"185"	"3"	"73.0247"	"2 SSRs including that detected by SB2333"	"Overlap with SB2333"	""
"2730"	"2730"	"iabtp292"	"73264345"	"73264435"	"90"	"3"	"73.2643"	""	""	""
"2731"	"2731"	"txp426"	"73266707"	"73266956"	"249"	"3"	"73.2667"	""	""	""
"2735"	"2735"	"isep0149"	"73365489"	"73365678"	"189"	"3"	"73.3655"	""	""	""
"2739"	"2739"	"isep0612"	"73476262"	"73476467"	"205"	"3"	"73.4763"	""	""	""
"2742"	"2742"	"iabtp180"	"73579737"	"73580058"	"321"	"3"	"73.5797"	""	""	""
"2746"	"2746"	"SRSC10_003"	"73742814"	"73743533"	"719"	"3"	"73.7428"	""	""	""
"2749"	"2749"	"isep0824"	"73923744"	"73923940"	"196"	"3"	"73.9237"	""	""	""
"2752"	"2752"	"txp098"	"73986285"	"73986499"	"214"	"3"	"73.9863"	""	""	""
"2756"	"2756"	"iabtp41"	"74116795"	"74116922"	"127"	"3"	"74.1168"	""	""	""
"2757"	"2757"	"isep0139"	"74134515"	"74134710"	"195"	"3"	"74.1345"	""	""	""
"2758"	"2758"	"iabtp100"	"74163574"	"74163784"	"210"	"3"	"74.1636"	""	"Overlap with SB2359"	""
"2764"	"2764"	"txp472"	"74263176"	"74263330"	"154"	"3"	"74.2632"	"2 SSRs including that detected by SB2363"	"Overlap with SB2363"	""
"2776"	"2776"	"txp506"	"83092"	"83257"	"165"	"4"	"0.0831"	""	""	""
"2778"	"2778"	"txp504"	"83959"	"84128"	"169"	"4"	"0.0840"	""	"Overlap with SB2377"	""
"2779"	"2779"	"txp505"	"84443"	"84634"	"191"	"4"	"0.0844"	""	""	""
"2780"	"2780"	"iabtp396"	"107741"	"107887"	"146"	"4"	"0.1077"	""	""	""
"2783"	"2783"	"iabtp134"	"128945"	"129147"	"202"	"4"	"0.1289"	"2 SSRs including that detected by SB2379"	"Overlap with SB2379"	""
"2785"	"2785"	"SRSC11_002"	"183625"	"184095"	"470"	"4"	"0.1836"	""	""	""
"2803"	"2803"	"isep0224"	"700702"	"700910"	"208"	"4"	"0.7007"	""	""	""
"2809"	"2809"	"SRSC2_002"	"862451"	"863221"	"770"	"4"	"0.8625"	""	""	""
"2810"	"2810"	"gap121"	"864533"	"864752"	"219"	"4"	"0.8645"	""	""	""
"2814"	"2814"	"isep0948"	"968400"	"968595"	"195"	"4"	"0.9684"	""	"4 bp overlap with SB2406"	"Not same as SB2406"
"2829"	"2829"	"iabtp64"	"1437367"	"1437520"	"153"	"4"	"1.4374"	""	"Overlap with SB2421"	""
"2830"	"2830"	"isep0246"	"1455056"	"1455254"	"198"	"4"	"1.4551"	""	"Overlap with Xisep0204"	""
"2831"	"2831"	"isep0204"	"1455062"	"1455263"	"201"	"4"	"1.4551"	""	"Overlap with Xisep0246"	""
"2832"	"2832"	"SRSC2_023"	"1462234"	"1462643"	"409"	"4"	"1.4622"	""	""	""
"2836"	"2836"	"cup48"	"1513715"	"1513984"	"269"	"4"	"1.5137"	""	""	""
"2846"	"2846"	"SRSC2_024"	"1942649"	"1943094"	"445"	"4"	"1.9426"	""	""	""
"2847"	"2847"	"isep0210"	"1974549"	"1974736"	"187"	"4"	"1.9745"	""	""	""
"2850"	"2850"	"SRSC2_015"	"2006377"	"2006832"	"455"	"4"	"2.0064"	""	""	""
"2852"	"2852"	"iabtp140"	"2036927"	"2037060"	"133"	"4"	"2.0369"	""	"Overlap with SB2438"	""
"2853"	"2853"	"gpsb151"	"2048028"	"2048137"	"109"	"4"	"2.0480"	""	""	""
"2861"	"2861"	"iabtp126"	"2268844"	"2269130"	"286"	"4"	"2.2688"	""	""	""
"2866"	"2866"	"mSbCIR340"	"2296726"	"2296962"	"236"	"4"	"2.2967"	""	""	""
"2876"	"2876"	"SRSC2_036"	"2811125"	"2811895"	"770"	"4"	"2.8111"	""	""	""
"2886"	"2886"	"iabtp419"	"3320863"	"3321093"	"230"	"4"	"3.3209"	""	"Overlap with SB2470"	""
"2888"	"2888"	"isep0907"	"3385094"	"3385294"	"200"	"4"	"3.3851"	""	""	""
"2900"	"2900"	"cup05"	"3855325"	"3855532"	"207"	"4"	"3.8553"	""	""	""
"2902"	"2902"	"isep0209"	"3903691"	"3903887"	"196"	"4"	"3.9037"	""	""	""
"2906"	"2906"	"cup23"	"4256689"	"4256856"	"167"	"4"	"4.2567"	""	""	""
"2912"	"2912"	"SRSC2_020"	"4483980"	"4484703"	"723"	"4"	"4.4840"	""	""	""
"2919"	"2919"	"SRSC2_038"	"4699517"	"4700194"	"677"	"4"	"4.6995"	""	""	""
"2923"	"2923"	"isep0202"	"4757418"	"4757602"	"184"	"4"	"4.7574"	""	"Overlap with SB2504"	""
"2925"	"2925"	"iabtp322"	"4802154"	"4802324"	"170"	"4"	"4.8022"	""	"Overlap with SB2505"	""
"2927"	"2927"	"isep0250"	"4891444"	"4891625"	"181"	"4"	"4.8914"	""	""	""
"2929"	"2929"	"txp026"	"4926650"	"4926833"	"183"	"4"	"4.9267"	"SSR segment included in SB2508 and Xgpsb050"	"Overlap with SB2508 and Xgpsb050"	""
"2931"	"2931"	"gpsb050"	"4926699"	"4926910"	"211"	"4"	"4.9267"	"2 SSRs including that detected by Xtxp026"	"Overlap with Xtxp026 and SB2508"	""
"2943"	"2943"	"isep0638"	"5628644"	"5628805"	"161"	"4"	"5.6286"	""	""	""
"2945"	"2945"	">SbCAD"	"5776561"	"5777473"	"912"	"4"	"5.7766"	""	""	""
"2948"	"2948"	"isep0201"	"5795751"	"5795916"	"165"	"4"	"5.7958"	""	""	""
"2952"	"2952"	"iabtp166"	"6060712"	"6060866"	"154"	"4"	"6.0607"	""	""	""
"2953"	"2953"	"isep0222"	"6102192"	"6102385"	"193"	"4"	"6.1022"	""	""	""
"2961"	"2961"	"mSbCIR323"	"6649605"	"6649885"	"280"	"4"	"6.6496"	""	""	""
"2979"	"2979"	"isep0213"	"8004619"	"8004847"	"228"	"4"	"8.0046"	""	""	""
"2984"	"2984"	"iabtp481"	"8241640"	"8242076"	"436"	"4"	"8.2416"	""	"Overlap with SB2555"	""
"2991"	"2991"	"isep0206"	"8700177"	"8700351"	"174"	"4"	"8.7002"	""	"Overlap with Xiabtp185"	"Same as Xiabtp185"
"2992"	"2992"	"iabtp185"	"8700177"	"8700351"	"174"	"4"	"8.7002"	""	"Overlap with Xisep0206"	"Same as Xisep0206"
"3001"	"3001"	">ZCN13"	"9459371"	"9459626"	"255"	"4"	"9.4594"	""	""	""
"3003"	"3003"	"iabtp167"	"9748284"	"9748610"	"326"	"4"	"9.7483"	""	""	""
"3007"	"3007"	"isep0228"	"9993957"	"9994161"	"204"	"4"	"9.9940"	""	""	""
"3008"	"3008"	"isep0203"	"10010966"	"10011176"	"210"	"4"	"10.0110"	""	""	""
"3011"	"3011"	"txp131"	"10259828"	"10259989"	"161"	"4"	"10.2598"	""	""	""
"3012"	"3012"	">Svul_PEPC"	"10263743"	"10264745"	"1002"	"4"	"10.2637"	""	""	""
"3014"	"3014"	"iabtp364"	"10436975"	"10437108"	"133"	"4"	"10.4370"	""	""	""
"3015"	"3015"	"isep0220"	"10437268"	"10437512"	"244"	"4"	"10.4373"	""	""	""
"3023"	"3023"	"isep0208"	"11507516"	"11507727"	"211"	"4"	"11.5075"	""	"Overlap with SB2586"	""
"3025"	"3025"	"isep0207"	"11510941"	"11511139"	"198"	"4"	"11.5109"	""	""	""
"3030"	"3030"	"isep0227"	"11760797"	"11760982"	"185"	"4"	"11.7608"	""	""	""
"3033"	"3033"	">TaPinB-D1p"	"12548544"	"12548562"	"18"	"4"	"12.5485"	""	""	""
"3035"	"3035"	"isep0615"	"13333433"	"13333625"	"192"	"4"	"13.3334"	""	""	""
"3041"	"3041"	"iabtp511"	"14956338"	"14956612"	"274"	"4"	"14.9563"	""	"Overlap with SB2601"	""
"3045"	"3045"	"SRSC2_006"	"16406615"	"16407896"	"1281"	"4"	"16.4066"	""	""	""
"3046"	"3046"	"SRSC2_029"	"16413090"	"16413391"	"301"	"4"	"16.4131"	""	""	""
"3047"	"3047"	"iabtp68"	"16570352"	"16570589"	"237"	"4"	"16.5704"	""	""	""
"3054"	"3054"	"iabtp63"	"22730484"	"22730675"	"191"	"4"	"22.7305"	""	"Owerlap with SB2612"	""
"3061"	"3061"	"cup20"	"38764794"	"38765014"	"220"	"4"	"38.7648"	""	""	""
"3067"	"3067"	"iabtp156"	"44137245"	"44137458"	"213"	"4"	"44.1372"	""	""	""
"3072"	"3072"	"SRSC2_005"	"47190513"	"47191069"	"556"	"4"	"47.1905"	""	""	""
"3073"	"3073"	"SRSC1_003"	"47412637"	"47413124"	"487"	"4"	"47.4126"	""	""	""
"3077"	"3077"	"isep0850"	"48068487"	"48068668"	"181"	"4"	"48.0685"	"SSR segment included in Xiabtp453"	"Overlap with Xiabtp453"	""
"3078"	"3078"	"iabtp453"	"48068487"	"48068735"	"248"	"4"	"48.0685"	"2 SSRs including that detected by Xisep0850"	"Overlap with Xisep0850"	""
"3080"	"3080"	"isep0223"	"48325027"	"48325237"	"210"	"4"	"48.3250"	""	""	""
"3081"	"3081"	"isep0221"	"48325515"	"48325702"	"187"	"4"	"48.3255"	""	""	""
"3084"	"3084"	"txp012"	"48576873"	"48577065"	"192"	"4"	"48.5769"	""	""	""
"3085"	"3085"	"isep0225"	"48600657"	"48600956"	"299"	"4"	"48.6007"	""	""	""
"3086"	"3086"	"txp343"	"48802394"	"48802551"	"157"	"4"	"48.8024"	""	""	""
"3092"	"3092"	"isep0229"	"50360472"	"50360675"	"203"	"4"	"50.3605"	""	""	""
"3093"	"3093"	"isep0226"	"50361241"	"50361455"	"214"	"4"	"50.3612"	""	""	""
"3098"	"3098"	"iabtp220"	"50655818"	"50655985"	"167"	"4"	"50.6558"	""	""	""
"3101"	"3101"	">ZCN2"	"50750021"	"50750310"	"289"	"4"	"50.7500"	""	""	""
"3107"	"3107"	"cup28"	"51249634"	"51249797"	"163"	"4"	"51.2496"	""	""	""
"3113"	"3113"	"iabtp47"	"51428629"	"51428774"	"145"	"4"	"51.4286"	""	""	""
"3118"	"3118"	"isep1221"	"51580782"	"51580955"	"173"	"4"	"51.5808"	"2 SSRs including that detected by SB2664"	"Overlap with SB2664"	""
"3122"	"3122"	"gap010"	"51715449"	"51715699"	"250"	"4"	"51.7154"	""	""	""
"3145"	"3145"	"iabtp506"	"53417750"	"53417913"	"163"	"4"	"53.4178"	""	"Overlap with SB2690"	""
"3161"	"3161"	">SbF3Hgene"	"54540799"	"54542867"	"2068"	"4"	"54.5408"	""	""	""
"3162"	"3162"	">SbF3H2"	"54540939"	"54541888"	"949"	"4"	"54.5409"	""	""	""
"3163"	"3163"	">SbF3H3"	"54549208"	"54550178"	"970"	"4"	"54.5492"	""	""	""
"3164"	"3164"	">SbF3H1"	"54578441"	"54579410"	"969"	"4"	"54.5784"	""	""	""
"3166"	"3166"	"isep0237"	"54761531"	"54761714"	"183"	"4"	"54.7615"	""	""	""
"3168"	"3168"	"iabtp289"	"54987765"	"54987936"	"171"	"4"	"54.9878"	""	""	""
"3170"	"3170"	">ZCN16"	"55042114"	"55044183"	"2069"	"4"	"55.0421"	""	""	""
"3173"	"3173"	"SRSC2_016"	"55098204"	"55098745"	"541"	"4"	"55.0982"	""	""	""
"3180"	"3180"	"SRSC2_040"	"55569287"	"55571108"	"1821"	"4"	"55.5693"	""	""	""
"3191"	"3191"	"iabtp172"	"56092753"	"56092976"	"223"	"4"	"56.0928"	""	"Overlap with SB2729"	""
"3194"	"3194"	">SbPPCK"	"56314682"	"56315565"	"883"	"4"	"56.3147"	""	""	""
"3195"	"3195"	"isep0233"	"56315751"	"56315945"	"194"	"4"	"56.3158"	""	""	""
"3201"	"3201"	"iabtp101"	"56491057"	"56491244"	"187"	"4"	"56.4911"	""	"Overlap with SB2736"	""
"3222"	"3222"	"isep0245"	"57847748"	"57847944"	"196"	"4"	"57.8477"	""	""	""
"3224"	"3224"	"isep0239"	"57876623"	"57876851"	"228"	"4"	"57.8766"	""	""	""
"3226"	"3226"	"cup71"	"57975256"	"57975375"	"119"	"4"	"57.9753"	""	""	""
"3233"	"3233"	"SRSC2_030"	"58384252"	"58384653"	"401"	"4"	"58.3843"	""	""	""
"3235"	"3235"	"txp024"	"58546804"	"58546948"	"144"	"4"	"58.5468"	""	""	""
"3241"	"3241"	"iabtp106"	"58883519"	"58883801"	"282"	"4"	"58.8835"	""	""	""
"3243"	"3243"	"SRSC2_018"	"58927716"	"58928067"	"351"	"4"	"58.9277"	""	""	""
"3246"	"3246"	"SRSC2_028"	"59041296"	"59041567"	"271"	"4"	"59.0413"	""	""	""
"3256"	"3256"	"txp327"	"59266753"	"59266909"	"156"	"4"	"59.2668"	""	"Overlap with SB2785"	""
"3258"	"3258"	"isep0247"	"59359280"	"59359569"	"289"	"4"	"59.3593"	""	""	""
"3262"	"3262"	"isep1211"	"59629708"	"59629890"	"182"	"4"	"59.6297"	""	""	""
"3264"	"3264"	">EF206347_ SbDES2"	"59930467"	"59931961"	"1494"	"4"	"59.9305"	""	""	""
"3269"	"3269"	"iabtp201"	"60090989"	"60091101"	"112"	"4"	"60.0910"	""	"Overlap with SB2794"	""
"3271"	"3271"	"SRSC2_026"	"60132588"	"60133086"	"498"	"4"	"60.1326"	""	""	""
"3272"	"3272"	"SRSC2_027"	"60136641"	"60137604"	"963"	"4"	"60.1366"	""	""	""
"3275"	"3275"	"SRSC2_025"	"60187603"	"60188486"	"883"	"4"	"60.1876"	""	""	""
"3276"	"3276"	"isep1021"	"60388223"	"60388467"	"244"	"4"	"60.3882"	""	""	""
"3280"	"3280"	"txp060"	"60490879"	"60491103"	"224"	"4"	"60.4909"	""	""	""
"3282"	"3282"	"iabtp132"	"60522637"	"60522786"	"149"	"4"	"60.5226"	"SSR segment included in SB2803"	"Overlap with SB2803"	""
"3284"	"3284"	"iabtp402"	"60641680"	"60641974"	"294"	"4"	"60.6417"	""	""	""
"3288"	"3288"	"isep0236"	"60883189"	"60883379"	"190"	"4"	"60.8832"	""	""	""
"3294"	"3294"	"isep0947"	"61049546"	"61049748"	"202"	"4"	"61.0495"	""	""	""
"3297"	"3297"	"txp051"	"61211421"	"61211649"	"228"	"4"	"61.2114"	"SSR segment included in SB2817"	"Overlap with Xtxp212 and SB2817"	""
"3298"	"3298"	"txp212"	"61211461"	"61211610"	"149"	"4"	"61.2115"	"SSR segment included in SB2817"	"Overlap with Xtxp051 and SB2817"	""
"3300"	"3300"	"isep0240"	"61313486"	"61313703"	"217"	"4"	"61.3135"	""	""	""
"3302"	"3302"	"iabtp274"	"61362139"	"61362396"	"257"	"4"	"61.3621"	"2 SSRs including that detected by SB2819"	"Overlap with SB2819"	""
"3314"	"3314"	"iabtp147"	"61644489"	"61644716"	"227"	"4"	"61.6445"	""	"Overlap with SB2831"	""
"3326"	"3326"	"isep0447"	"62289413"	"62289603"	"190"	"4"	"62.2894"	""	""	""
"3327"	"3327"	"isep0214"	"62334455"	"62334782"	"327"	"4"	"62.3345"	""	""	""
"3330"	"3330"	"SRSC2_011"	"62457882"	"62458409"	"527"	"4"	"62.4579"	""	""	""
"3338"	"3338"	"gpsb045"	"62796441"	"62796656"	"215"	"4"	"62.7964"	""	""	""
"3339"	"3339"	"isep0244"	"62820113"	"62820366"	"253"	"4"	"62.8201"	""	""	""
"3341"	"3341"	"iabtp227"	"62860689"	"62860909"	"220"	"4"	"62.8607"	""	"Overlap with SB2851"	"Very similar to SB2851"
"3353"	"3353"	">ZmYS1"	"63224039"	"63224989"	"950"	"4"	"63.2240"	""	""	""
"3354"	"3354"	"iabtp353"	"63272711"	"63272944"	"233"	"4"	"63.2727"	""	""	""
"3368"	"3368"	"SRSC2_017"	"63865288"	"63865982"	"694"	"4"	"63.8653"	""	""	""
"3371"	"3371"	"SRSC2_010"	"64052055"	"64052526"	"471"	"4"	"64.0521"	""	""	""
"3379"	"3379"	"iabtp363"	"64332338"	"64332479"	"141"	"4"	"64.3323"	""	"Overlap with SB2890"	""
